,0
336,0 days 00:00:00.045339
337,0 days 00:00:00.045368
338,0 days 00:00:00.067906
339,0 days 00:00:00.056228
340,0 days 00:00:00.045311
341,0 days 00:00:00.045121
342,0 days 00:00:00.044975
343,0 days 00:00:00.003426
344,0 days 00:00:00.041823
345,0 days 00:00:00.045276
346,0 days 00:00:00.045228
347,0 days 00:00:00.067864
348,0 days 00:00:00.046887
349,0 days 00:00:00.045142
350,0 days 00:00:00.045115
351,0 days 00:00:00.045264
352,0 days 00:00:00.045238
353,0 days 00:00:00.045306
354,0 days 00:00:00.045368
355,0 days 00:00:00.056131
356,0 days 00:00:00.045200
357,0 days 00:00:00.056409
358,0 days 00:00:00.045114
359,0 days 00:00:00.045258
360,0 days 00:00:00.045288
361,0 days 00:00:00.156570
362,0 days 00:00:00.057907
363,0 days 00:00:00.045219
364,0 days 00:00:00.067739
365,0 days 00:00:00.045136
366,0 days 00:00:00.045264
367,0 days 00:00:00.056206
368,0 days 00:00:00.045337
369,0 days 00:00:00.045159
370,0 days 00:00:00.045203
371,0 days 00:00:00.056320
372,0 days 00:00:00.045321
373,0 days 00:00:00.045183
374,0 days 00:00:00.045291
375,0 days 00:00:00.045052
376,0 days 00:00:00.046790
377,0 days 00:00:00.045236
378,0 days 00:00:00.056477
379,0 days 00:00:00.056295
380,0 days 00:00:00.045135
381,0 days 00:00:00.056067
382,0 days 00:00:00.004474
383,0 days 00:00:00.040939
384,0 days 00:00:00.067758
385,0 days 00:00:00.045077
386,0 days 00:00:00.045198
387,0 days 00:00:00.045387
388,0 days 00:00:00.045258
389,0 days 00:00:00.045230
390,0 days 00:00:00.069141
391,0 days 00:00:00.045312
392,0 days 00:00:00.156717
393,0 days 00:00:00.045179
394,0 days 00:00:00.056305
395,0 days 00:00:00.045225
396,0 days 00:00:00.045487
397,0 days 00:00:00.045101
398,0 days 00:00:00.045145
399,0 days 00:00:00.045170
400,0 days 00:00:00.045261
401,0 days 00:00:00.045280
402,0 days 00:00:00.067754
403,0 days 00:00:00.045239
404,0 days 00:00:00.046806
405,0 days 00:00:00.045105
406,0 days 00:00:00.067361
407,0 days 00:00:00.045205
408,0 days 00:00:00.056212
409,0 days 00:00:00.045467
410,0 days 00:00:00.045232
411,0 days 00:00:00.056353
412,0 days 00:00:00.045336
413,0 days 00:00:00.045156
414,0 days 00:00:00.045053
415,0 days 00:00:00.045070
416,0 days 00:00:00.045223
417,0 days 00:00:00.045538
418,0 days 00:00:00.046616
419,0 days 00:00:00.045226
420,0 days 00:00:00.091687
421,0 days 00:00:00.214312
422,0 days 00:00:00.091511
423,0 days 00:00:00.091951
424,0 days 00:00:00.045145
425,0 days 00:00:00.045121
426,0 days 00:00:00.045104
427,0 days 00:00:00.045410
428,0 days 00:00:00.056213
429,0 days 00:00:00.045248
430,0 days 00:00:00.045220
431,0 days 00:00:00.056364
432,0 days 00:00:00.045182
433,0 days 00:00:00.056353
434,0 days 00:00:00.045192
435,0 days 00:00:00.008293
436,0 days 00:00:00.048021
437,0 days 00:00:00.045036
438,0 days 00:00:00.045240
439,0 days 00:00:00.046657
440,0 days 00:00:00.045246
441,0 days 00:00:00.045227
442,0 days 00:00:00.000176
443,0 days 00:00:00.044989
444,0 days 00:00:00.045268
445,0 days 00:00:00.045289
446,0 days 00:00:00.045211
447,0 days 00:00:00.045231
448,0 days 00:00:00.045095
449,0 days 00:00:00.045342
450,0 days 00:00:00.045260
451,0 days 00:00:00.045119
452,0 days 00:00:00.134174
453,0 days 00:00:00.045339
454,0 days 00:00:00.046678
455,0 days 00:00:00.045337
456,0 days 00:00:00.000378
457,0 days 00:00:00.044952
458,0 days 00:00:00.045445
459,0 days 00:00:00.056350
460,0 days 00:00:00.045210
461,0 days 00:00:00.045314
462,0 days 00:00:00.045385
463,0 days 00:00:00.045078
464,0 days 00:00:00.045215
465,0 days 00:00:00.045278
466,0 days 00:00:00.067823
467,0 days 00:00:00.045116
468,0 days 00:00:00.046882
469,0 days 00:00:00.045144
470,0 days 00:00:00.045226
471,0 days 00:00:00.045297
472,0 days 00:00:00.044972
473,0 days 00:00:00.045310
474,0 days 00:00:00.045215
475,0 days 00:00:00.045204
476,0 days 00:00:00.056342
477,0 days 00:00:00.045335
478,0 days 00:00:00.045291
479,0 days 00:00:00.045215
480,0 days 00:00:00.045292
481,0 days 00:00:00.045040
482,0 days 00:00:00.046740
483,0 days 00:00:00.000350
484,0 days 00:00:00.044759
485,0 days 00:00:00.045277
486,0 days 00:00:00.134156
487,0 days 00:00:00.045255
488,0 days 00:00:00.067423
489,0 days 00:00:00.045154
490,0 days 00:00:00.045268
491,0 days 00:00:00.045251
492,0 days 00:00:00.045272
493,0 days 00:00:00.045269
494,0 days 00:00:00.000387
495,0 days 00:00:00.044955
496,0 days 00:00:00.045339
497,0 days 00:00:00.044886
498,0 days 00:00:00.001226
499,0 days 00:00:00.045665
500,0 days 00:00:00.045336
501,0 days 00:00:00.045115
502,0 days 00:00:00.045177
503,0 days 00:00:00.067815
504,0 days 00:00:00.045180
505,0 days 00:00:00.000477
506,0 days 00:00:00.044766
507,0 days 00:00:00.056259
508,0 days 00:00:00.045178
509,0 days 00:00:00.045386
510,0 days 00:00:00.045169
511,0 days 00:00:00.045250
512,0 days 00:00:00.045521
513,0 days 00:00:00.067399
514,0 days 00:00:00.046663
515,0 days 00:00:00.045146
516,0 days 00:00:00.045420
517,0 days 00:00:00.056208
518,0 days 00:00:00.045194
519,0 days 00:00:00.134142
520,0 days 00:00:00.045193
521,0 days 00:00:00.067696
522,0 days 00:00:00.045265
523,0 days 00:00:00.045108
524,0 days 00:00:00.045276
525,0 days 00:00:00.045213
526,0 days 00:00:00.067717
527,0 days 00:00:00.057805
528,0 days 00:00:00.045231
529,0 days 00:00:00.056384
530,0 days 00:00:00.045206
531,0 days 00:00:00.067636
532,0 days 00:00:00.067670
533,0 days 00:00:00.045147
534,0 days 00:00:00.045308
535,0 days 00:00:00.045185
536,0 days 00:00:00.045368
537,0 days 00:00:00.045232
538,0 days 00:00:00.067609
539,0 days 00:00:00.045363
540,0 days 00:00:00.045102
541,0 days 00:00:00.057948
542,0 days 00:00:00.000702
543,0 days 00:00:00.044446
544,0 days 00:00:00.045180
545,0 days 00:00:00.045185
546,0 days 00:00:00.045218
547,0 days 00:00:00.045228
548,0 days 00:00:00.078770
549,0 days 00:00:00.134265
550,0 days 00:00:00.045210
551,0 days 00:00:00.056459
552,0 days 00:00:00.045171
553,0 days 00:00:00.000474
554,0 days 00:00:00.044636
555,0 days 00:00:00.045226
556,0 days 00:00:00.047207
557,0 days 00:00:00.079845
558,0 days 00:00:00.092081
559,0 days 00:00:00.091164
560,0 days 00:00:00.050576
561,0 days 00:00:00.215759
562,0 days 00:00:00.045278
563,0 days 00:00:00.045256
564,0 days 00:00:00.045102
565,0 days 00:00:00.056425
566,0 days 00:00:00.078942
567,0 days 00:00:00.056283
568,0 days 00:00:00.046633
569,0 days 00:00:00.067777
570,0 days 00:00:00.045087
571,0 days 00:00:00.045266
572,0 days 00:00:00.045139
573,0 days 00:00:00.045361
574,0 days 00:00:00.045118
575,0 days 00:00:00.067623
576,0 days 00:00:00.045261
577,0 days 00:00:00.045193
578,0 days 00:00:00.134222
579,0 days 00:00:00.045090
580,0 days 00:00:00.045310
581,0 days 00:00:00.046721
582,0 days 00:00:00.067540
583,0 days 00:00:00.045358
584,0 days 00:00:00.045290
585,0 days 00:00:00.008959
586,0 days 00:00:00.047441
587,0 days 00:00:00.045163
588,0 days 00:00:00.045278
589,0 days 00:00:00.045171
590,0 days 00:00:00.067798
591,0 days 00:00:00.045485
592,0 days 00:00:00.056321
593,0 days 00:00:00.067510
594,0 days 00:00:00.045315
595,0 days 00:00:00.046790
596,0 days 00:00:00.045157
597,0 days 00:00:00.067620
598,0 days 00:00:00.078402
599,0 days 00:00:00.056462
600,0 days 00:00:00.045295
601,0 days 00:00:00.056612
602,0 days 00:00:00.045002
603,0 days 00:00:00.056291
604,0 days 00:00:00.045034
605,0 days 00:00:00.056564
606,0 days 00:00:00.056434
607,0 days 00:00:00.045247
608,0 days 00:00:00.134037
609,0 days 00:00:00.000607
610,0 days 00:00:00.046214
611,0 days 00:00:00.045242
612,0 days 00:00:00.078614
613,0 days 00:00:00.067588
614,0 days 00:00:00.056242
615,0 days 00:00:00.056494
616,0 days 00:00:00.045090
617,0 days 00:00:00.051898
618,0 days 00:00:00.061041
619,0 days 00:00:00.045515
620,0 days 00:00:00.000529
621,0 days 00:00:00.055225
622,0 days 00:00:00.079259
623,0 days 00:00:00.045285
624,0 days 00:00:00.046710
625,0 days 00:00:00.045250
626,0 days 00:00:00.045212
627,0 days 00:00:00.045295
628,0 days 00:00:00.045375
629,0 days 00:00:00.045082
630,0 days 00:00:00.045198
631,0 days 00:00:00.045284
632,0 days 00:00:00.045181
633,0 days 00:00:00.000492
634,0 days 00:00:00.078126
635,0 days 00:00:00.045282
636,0 days 00:00:00.045093
637,0 days 00:00:00.078808
638,0 days 00:00:00.046732
639,0 days 00:00:00.045265
640,0 days 00:00:00.045246
641,0 days 00:00:00.134108
642,0 days 00:00:00.045232
643,0 days 00:00:00.045215
644,0 days 00:00:00.045197
645,0 days 00:00:00.045335
646,0 days 00:00:00.045238
647,0 days 00:00:00.056455
648,0 days 00:00:00.044847
649,0 days 00:00:00.045304
650,0 days 00:00:00.045323
651,0 days 00:00:00.045128
652,0 days 00:00:00.045099
653,0 days 00:00:00.046799
654,0 days 00:00:00.045152
655,0 days 00:00:00.045318
656,0 days 00:00:00.060876
657,0 days 00:00:00.087772
658,0 days 00:00:00.045207
659,0 days 00:00:00.045293
660,0 days 00:00:00.045135
661,0 days 00:00:00.045310
662,0 days 00:00:00.056321
663,0 days 00:00:00.056320
664,0 days 00:00:00.045293
665,0 days 00:00:00.045217
666,0 days 00:00:00.045135
667,0 days 00:00:00.045252
668,0 days 00:00:00.045130
669,0 days 00:00:00.045209
670,0 days 00:00:00.045151
671,0 days 00:00:00.046869
672,0 days 00:00:00.045015
673,0 days 00:00:00.134466
674,0 days 00:00:00.056152
675,0 days 00:00:00.067702
676,0 days 00:00:00.045263
677,0 days 00:00:00.045170
678,0 days 00:00:00.067545
679,0 days 00:00:00.045176
